id,lim_inf,lim_sup,cuota_fija,porcentaje
1,0.01,171.78,0,1.92
2,171.79,1458.03,3.29,6.4
3,1458.04,2562.35,85.61,10.88
4,2562.36,2978.64,205.8,16
5,2978.65,3566.22,272.37,17.92
6,3566.23,7192.64,377.65,21.36
7,7192.65,11336.57,1152.27,23.52
8,11336.58,21643.3,2126.95,30
9,21643.31,28857.78,5218.92,32
10,28857.79,86573.34,7527.59,34
11,86573.35,99999.99,27150.83,35
